scpi_source,id_actif,nom_actif,type_actif,ville,surface_m2,valeur_venale,travaux_total,travaux_renovation,travaux_gros_entretien,travaux_mise_conformite,travaux_environnementaux,travaux_amelioration,travaux_autres,capex_par_m2,capex_sur_vv_pct,annee_travaux,description_travaux,statut_travaux,source_donnee
LF Croissance & Territoires,LF -004,Immeuble Lille Euralille 4,Santé,Lille Euralille,10072,62174456,2997746,1451018.4507388724,448301.827854992,322681.3596781799,411815.39104839566,354349.5185528911,9579.452126668935,297.6316521048451,4.821507404905963,2024.0,Rénovation sanitaires,En cours,Actif Direct
LF Croissance & Territoires,LF -006,Immeuble Lyon Confluence 6,Bureaux,Lyon Confluence,10062,42129594,2789694,1236788.3712120077,481290.1053617972,301402.3117286189,230728.56618749903,224193.86406541272,315290.78144466475,277.2504472271914,6.621696852810876,2024.0,Remplacement système CVC,Planifié,Actif Direct
LF Croissance & Territoires,LF -007,Immeuble Paris 9ème 7,Commerces,Paris 9ème,6234,45240138,2146307,555292.6066942371,573533.9278720823,222256.61902961924,126629.76915370383,261495.7331346577,407098.3441156997,344.29050368944496,4.744253874733981,2024.0,Rénovation sanitaires,En cours,Actif Direct
LF Croissance & Territoires,LF -008,Immeuble Toulouse Labège 8,Santé,Toulouse Labège,14247,88716069,2140110,754848.753034583,514643.95018803293,364868.2975852018,128236.97029326485,163332.29280498176,214179.73609393564,150.21478205938092,2.4123138278365333,2024.0,Modernisation ascenseurs,Planifié,Actif Direct
LF Croissance & Territoires,LF -016,Immeuble Bordeaux Euratlantique 16,Commerces,Bordeaux Euratlantique,19832,118119392,1549501,588579.6061382865,359980.24686192273,246873.30801318857,104048.47238015337,199302.91711076975,50716.449495679015,78.13135336829367,1.3118091566201087,2024.0,Mise aux normes sécurité incendie,En cours,Actif Direct
LF Croissance & Territoires,LF -019,Immeuble Aix-en-Provence 19,Santé,Aix-en-Provence,16041,64500861,3250024,1373334.1724247516,618515.071778109,457406.30402895564,283343.99406118615,462981.1595617032,54443.29814529406,202.6073187457141,5.038729638043126,2024.0,Rénovation sanitaires,En cours,Actif Direct
LF Croissance & Territoires,LF -020,Immeuble Lyon Part-Dieu 20,Logistique,Lyon Part-Dieu,14678,62836518,3340286,971455.4061190295,429356.2218478683,342031.44590640825,422049.5022516229,256060.58030066738,919332.8435744034,227.57092246900123,5.315835610114488,2024.0,Réaménagement plateaux de bureaux,En cours,Actif Direct
LF Croissance & Territoires,LF -022,Immeuble Lille Euralille 22,Logistique,Lille Euralille,23847,115300245,652349,184673.6499569532,135998.93658678315,97835.17158376556,64821.873247350435,60231.13523049429,108788.23339465329,27.355600285151173,0.5657828394033335,2024.0,Remplacement système CVC,En cours,Actif Direct
LF Croissance & Territoires,LF -023,Immeuble La Défense 23,Bureaux,La Défense,13611,93779790,3274165,1129109.8349106875,358134.2296462808,579641.1420863218,314142.33671073953,331170.1751871449,561967.2814588251,240.5528616560135,3.4913332606097756,2024.0,Installation bornes de recharge VE,Planifié,Actif Direct
LF Croissance & Territoires,LF -029,Immeuble Saint-Denis 29,Activités,Saint-Denis,17540,106818600,632361,227315.62231580337,95586.99583344089,91928.02207441232,34481.56639719524,62092.15888706513,120956.63449208306,36.05250855188142,0.5919952143166078,2024.0,Rénovation énergétique - mise aux normes RT2020,En cours,Actif Direct
Pierre Sélection,PIE-002,Immeuble Levallois-Perret 2,Bureaux,Levallois-Perret,16971,115402800,189045,67394.68684139078,51572.41144275739,33496.190783128455,17901.622627409724,22086.8805149067,-3406.7922095930567,11.139296446879971,0.1638131830423525,2024.0,Installation panneaux solaires,En cours,Actif Direct
Pierre Sélection,PIE-004,Immeuble Paris 17ème 4,Logistique,Paris 17ème,5197,31831625,2339102,988604.1783079804,286743.665752007,296301.9373336243,169854.68459473725,285381.93542368524,312215.598587966,450.0869732538003,7.3483587470008205,2024.0,Rénovation parties communes,Planifié,Actif Direct
Pierre Sélection,PIE-011,Immeuble Toulouse Blagnac 11,Logistique,Toulouse Blagnac,4907,31080938,2379504,922264.54388044,458651.92188462097,325985.24673751165,165253.62445837157,310747.0127669546,196601.6502721011,484.9203179131853,7.655830721711165,2024.0,Travaux amiante et désamiantage,Réalisé,Actif Direct
Pierre Sélection,PIE-012,Immeuble Boulogne-Billancourt 12,Activités,Boulogne-Billancourt,2669,15424151,3106874,771173.5698127602,550360.2167686722,573778.7445499536,364433.3092096104,240213.802813441,606914.3568455628,1164.0591982015737,20.1429174286481,2024.0,Rénovation sanitaires,En cours,Actif Direct
Pierre Sélection,PIE-014,Immeuble Montpellier 14,Bureaux,Montpellier,19191,105704028,1675561,683296.1705501309,234023.96789489128,321612.13529026584,173903.73791276058,84569.33965886582,178155.64869308556,87.30972851857642,1.5851439455079233,2024.0,Rénovation parties communes,En cours,Actif Direct
Pierre Sélection,PIE-017,Immeuble Rennes 17,Commerces,Rennes,7857,37517175,1496926,615985.7209514624,416232.6872966821,240563.1228706705,188378.88242029544,126711.05115226527,-90945.46469137566,190.52131856942853,3.9899752579985037,2024.0,Rénovation façades et menuiseries,Planifié,Actif Direct
Atout Pierre Diversification,ATO-001,Immeuble Bordeaux Euratlantique 1,Commerces,Bordeaux Euratlantique,21311,73927859,3076306,819542.732632034,567378.6192450912,409664.2044015857,271457.00481414766,445961.82233911497,562301.6165680265,144.35296325841114,4.1612269604615495,2024.0,Création espaces verts et terrasses,Planifié,Actif Direct
Atout Pierre Diversification,ATO-005,Immeuble Toulouse Labège 5,Commerces,Toulouse Labège,12221,48676243,2301145,589946.8236100926,269969.2103085877,413076.90035989357,302491.72133021354,138571.86440593752,587088.4799852751,188.2943294329433,4.727449897889613,2024.0,Mise aux normes sécurité incendie,En cours,Actif Direct
Atout Pierre Diversification,ATO-009,Immeuble Boulogne-Billancourt 9,Logistique,Boulogne-Billancourt,19998,120167982,755912,304052.83060284413,171388.38105956718,118572.14077456036,89685.54257601211,86706.5017779888,-14493.396790972596,37.7993799379938,0.6290460964884973,2024.0,Rénovation énergétique - mise aux normes RT2020,En cours,Actif Direct
Atout Pierre Diversification,ATO-013,Immeuble La Défense 13,Commerces,La Défense,12150,69558750,516386,188267.93058722842,96606.34204920703,92436.95358929472,50213.50075494893,72052.73585322796,16808.53716609297,42.50090534979424,0.7423738925728252,2024.0,Rénovation sanitaires,Planifié,Actif Direct
Atout Pierre Diversification,ATO-017,Immeuble Lyon Part-Dieu 17,Santé,Lyon Part-Dieu,13324,93894228,3287021,977277.5768495847,979920.443544608,460717.1882393476,399622.1882613434,473395.1766329674,-3911.5735278512293,246.6992644851396,3.500770036684257,2024.0,Amélioration performance thermique,Planifié,Actif Direct
Atout Pierre Diversification,ATO-021,Immeuble Strasbourg 21,Bureaux,Strasbourg,4189,24493083,1366458,624648.6494984948,404129.4395666763,250929.60750130797,149455.93095745347,141283.9200730731,-203989.54759700564,326.2014800668417,5.578954678755631,2024.0,Réfection toiture et étanchéité,En cours,Actif Direct
Atout Pierre Diversification,ATO-024,Immeuble Bordeaux Lac 24,Commerces,Bordeaux Lac,10966,52209126,1706829,770975.3168667323,445333.58204461896,337509.8960791095,121933.7864931765,93127.28097090466,-62050.86245454191,155.64736458143352,3.2692158072134747,2024.0,Amélioration performance thermique,Réalisé,Actif Direct
Atout Pierre Diversification,ATO-026,Immeuble Nice 26,Commerces,Nice,6664,35705712,2450244,1086472.3868460692,391854.50142935367,274686.8968387416,267116.0069139649,353574.7884716625,76539.41950020789,367.68367346938777,6.8623305985328065,2024.0,Réfection toiture et étanchéité,En cours,Actif Direct
Atout Pierre Diversification,ATO-027,Immeuble Levallois-Perret 27,Commerces,Levallois-Perret,20533,116771171,354255,153028.37754289174,53993.09326553766,61843.76243641845,52000.97320854389,25400.915061367974,7987.878485240331,17.252958651926168,0.3033753939146504,2024.0,Remplacement système CVC,Réalisé,Actif Direct
Rivoli Avenir Patrimoine,SCI-SCI RIV La Défense 3,SCI RIV La Défense 3,SCI,,16411,65561945,3258155,0.0,0.0,0.0,0.0,0.0,0.0,198.53482420327828,4.969582583311096,,,,SCI
Aestiam Placement Pierre,SCI-SCI AES Rennes 1,SCI AES Rennes 1,SCI,,13656,56931864,1866316,0.0,0.0,0.0,0.0,0.0,0.0,136.66637375512596,3.2781572020898526,,,,SCI
Aestiam Placement Pierre,SCI-SCI AES Toulouse Labège 2,SCI AES Toulouse Labège 2,SCI,,18732,128576448,4466503,0.0,0.0,0.0,0.0,0.0,0.0,238.44239803544735,3.473811160190084,,,,SCI
Aestiam Placement Pierre,SCI-SCI AES Lille Euralille 3,SCI AES Lille Euralille 3,SCI,,12569,81044912,6575634,0.0,0.0,0.0,0.0,0.0,0.0,523.16286100724,8.113567943660671,,,,SCI
Aestiam Placement Pierre,SCI-SCI AES La Défense 5,SCI AES La Défense 5,SCI,,14776,109593592,3321307,0.0,0.0,0.0,0.0,0.0,0.0,224.77713860314023,3.0305667871530297,,,,SCI
LF Croissance & Territoires,SCI-SCI LF  Lyon Part-Dieu 1,SCI LF  Lyon Part-Dieu 1,SCI,,25604,108688980,6453732,0.0,0.0,0.0,0.0,0.0,0.0,252.05952194969535,5.937797925787876,,,,SCI
LF Croissance & Territoires,SCI-SCI LF  Issy-les-Moulineaux 3,SCI LF  Issy-les-Moulineaux 3,SCI,,29108,189580404,5772057,0.0,0.0,0.0,0.0,0.0,0.0,198.2979593238972,3.044648538674915,,,,SCI
LF Croissance & Territoires,SCI-SCI LF  Saint-Denis 5,SCI LF  Saint-Denis 5,SCI,,8260,47726280,2711371,0.0,0.0,0.0,0.0,0.0,0.0,328.25314769975785,5.681085976112113,,,,SCI
Pierre Sélection,SCI-SCI PIE Lille Euralille 1,SCI PIE Lille Euralille 1,SCI,,28488,160216512,5367726,0.0,0.0,0.0,0.0,0.0,0.0,188.42059814658805,3.350295130629233,,,,SCI
Pierre Sélection,SCI-SCI PIE Nice 3,SCI PIE Nice 3,SCI,,21832,154024760,5690407,0.0,0.0,0.0,0.0,0.0,0.0,260.64524551117626,3.6944754856297135,,,,SCI
Pierre Sélection,SCI-SCI PIE Levallois-Perret 4,SCI PIE Levallois-Perret 4,SCI,,29755,221764015,7899942,0.0,0.0,0.0,0.0,0.0,0.0,265.4996471181314,3.5623191616547887,,,,SCI
Pierre Sélection,SCI-SCI PIE La Défense 5,SCI PIE La Défense 5,SCI,,11335,61481040,7043997,0.0,0.0,0.0,0.0,0.0,0.0,621.4377591530657,11.457185825093395,,,,SCI
Atout Pierre Diversification,SCI-SCI ATO Nantes Atlantique 4,SCI ATO Nantes Atlantique 4,SCI,,8855,45939740,1656935,0.0,0.0,0.0,0.0,0.0,0.0,187.1185770750988,3.606757460969522,,,,SCI
